# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
6977	10	1.00000	0.00000	0.00000	0.98770	0.00600	0.00066	0.02459	0.02399	0.00132	0.97541	0.02399	0.00132	0.01230	0.00600	0.00066	0.98770	0.00600	0.00066	0.02459	0.02399	0.00132	0.00000	0.00000	0.00000
6982	20	1.00000	0.00000	0.00000	0.98740	0.00614	0.00067	0.02519	0.02456	0.00134	0.97481	0.02456	0.00134	0.01260	0.00614	0.00067	0.98740	0.00614	0.00067	0.02519	0.02456	0.00134	0.00000	0.00000	0.00000
7229	15	1.00000	0.00000	0.00000	0.99038	0.00472	0.00061	0.01925	0.01888	0.00123	0.98075	0.01888	0.00123	0.00962	0.00472	0.00061	0.99038	0.00472	0.00061	0.01925	0.01888	0.00123	0.00000	0.00000	0.00000
7295	29	1.00000	0.00000	0.00000	0.98642	0.00661	0.00069	0.02716	0.02642	0.00138	0.97284	0.02642	0.00138	0.01358	0.00661	0.00069	0.98642	0.00661	0.00069	0.02716	0.02642	0.00138	0.00000	0.00000	0.00000
7526	19	1.00000	0.00000	0.00000	0.98705	0.00631	0.00068	0.02590	0.02523	0.00135	0.97410	0.02523	0.00135	0.01295	0.00631	0.00068	0.98705	0.00631	0.00068	0.02590	0.02523	0.00135	0.00000	0.00000	0.00000
9539	47	1.00000	0.00000	0.00000	0.98599	0.00681	0.00070	0.02803	0.02724	0.00140	0.97197	0.02724	0.00140	0.01401	0.00681	0.00070	0.98599	0.00681	0.00070	0.02803	0.02724	0.00140	0.00000	0.00000	0.00000
13530	40	1.00000	0.00000	0.00000	0.99476	0.00259	0.00044	0.01048	0.01037	0.00087	0.98952	0.01037	0.00087	0.00524	0.00259	0.00044	0.99476	0.00259	0.00044	0.01048	0.01037	0.00087	0.00000	0.00000	0.00000
14484	83	1.00000	0.00000	0.00000	0.98663	0.00651	0.00070	0.02675	0.02603	0.00140	0.97325	0.02603	0.00140	0.01337	0.00651	0.00070	0.98663	0.00651	0.00070	0.02675	0.02603	0.00140	0.00000	0.00000	0.00000
15880	21	1.00000	0.00000	0.00000	0.99507	0.00244	0.00042	0.00986	0.00977	0.00085	0.99014	0.00977	0.00085	0.00493	0.00244	0.00042	0.99507	0.00244	0.00042	0.00986	0.00977	0.00085	0.00000	0.00000	0.00000
15892	42	1.00000	0.00000	0.00000	0.99427	0.00283	0.00046	0.01146	0.01133	0.00092	0.98854	0.01133	0.00092	0.00573	0.00283	0.00046	0.99427	0.00283	0.00046	0.01146	0.01133	0.00092	0.00000	0.00000	0.00000
19259	84	1.00000	0.00000	0.00000	0.98744	0.00612	0.00068	0.02513	0.02450	0.00135	0.97487	0.02450	0.00135	0.01256	0.00612	0.00068	0.98744	0.00612	0.00068	0.02513	0.02450	0.00135	0.00000	0.00000	0.00000
33266	16	1.00000	0.00000	0.00000	0.99033	0.00474	0.00058	0.01933	0.01896	0.00117	0.98067	0.01896	0.00117	0.00967	0.00474	0.00058	0.99033	0.00474	0.00058	0.01933	0.01896	0.00117	0.00000	0.00000	0.00000
33272	40	1.00000	0.00000	0.00000	0.99174	0.00406	0.00054	0.01652	0.01625	0.00108	0.98348	0.01625	0.00108	0.00826	0.00406	0.00054	0.99174	0.00406	0.00054	0.01652	0.01625	0.00108	0.00000	0.00000	0.00000
33274	35	1.00000	0.00000	0.00000	0.99085	0.00449	0.00057	0.01829	0.01796	0.00114	0.98171	0.01796	0.00114	0.00915	0.00449	0.00057	0.99085	0.00449	0.00057	0.01829	0.01796	0.00114	0.00000	0.00000	0.00000
33761	13	1.00000	0.00000	0.00000	0.99383	0.00305	0.00047	0.01234	0.01219	0.00094	0.98766	0.01219	0.00094	0.00617	0.00305	0.00047	0.99383	0.00305	0.00047	0.01234	0.01219	0.00094	0.00000	0.00000	0.00000
33797	10	1.00000	0.00000	0.00000	0.99359	0.00316	0.00048	0.01281	0.01265	0.00095	0.98719	0.01265	0.00095	0.00641	0.00316	0.00048	0.99359	0.00316	0.00048	0.01281	0.01265	0.00095	0.00000	0.00000	0.00000
33863	10	1.00000	0.00000	0.00000	0.99412	0.00291	0.00048	0.01177	0.01163	0.00095	0.98823	0.01163	0.00095	0.00588	0.00291	0.00048	0.99412	0.00291	0.00048	0.01177	0.01163	0.00095	0.00000	0.00000	0.00000
33878	21	1.00000	0.00000	0.00000	0.99282	0.00354	0.00051	0.01436	0.01415	0.00101	0.98564	0.01415	0.00101	0.00718	0.00354	0.00051	0.99282	0.00354	0.00051	0.01436	0.01415	0.00101	0.00000	0.00000	0.00000
33908	15	1.00000	0.00000	0.00000	0.99160	0.00413	0.00055	0.01681	0.01653	0.00109	0.98319	0.01653	0.00109	0.00840	0.00413	0.00055	0.99160	0.00413	0.00055	0.01681	0.01653	0.00109	0.00000	0.00000	0.00000
33922	20	1.00000	0.00000	0.00000	0.99253	0.00368	0.00052	0.01494	0.01472	0.00105	0.98506	0.01472	0.00105	0.00747	0.00368	0.00052	0.99253	0.00368	0.00052	0.01494	0.01472	0.00105	0.00000	0.00000	0.00000
36115	9	1.00000	0.00000	0.00000	0.99183	0.00402	0.00054	0.01633	0.01607	0.00108	0.98367	0.01607	0.00108	0.00817	0.00402	0.00054	0.99183	0.00402	0.00054	0.01633	0.01607	0.00108	0.00000	0.00000	0.00000
36133	19	1.00000	0.00000	0.00000	0.99274	0.00358	0.00052	0.01452	0.01431	0.00103	0.98548	0.01431	0.00103	0.00726	0.00358	0.00052	0.99274	0.00358	0.00052	0.01452	0.01431	0.00103	0.00000	0.00000	0.00000
5611-2	514	1.00000	0.00000	0.00000	0.99299	0.00346	0.00051	0.01402	0.01382	0.00101	0.98598	0.01382	0.00101	0.00701	0.00346	0.00051	0.99299	0.00346	0.00051	0.01402	0.01382	0.00101	0.00000	0.00000	0.00000
